plot_order,LAT,LON,H_LI, FILLED
1,-66.11812,-61.93949,37.46293,37.46293
2,-66.11794,-61.93944,37.60666,37.60666
3,-66.11777,-61.93939,37.73614,37.73614
4,-66.11759,-61.93934,37.91141,37.91141
5,-66.11741,-61.93929,38.08255,38.08255
6,-66.11723,-61.93924,38.2179,38.2179
7,-66.11706,-61.93919,38.33184,38.33184
8,-66.11688,-61.93914,38.44416,38.44416
9,-66.1167,-61.93909,38.54927,38.54927
10,-66.11652,-61.93904,38.66279,38.66279
11,-66.11635,-61.939,38.79717,38.79717
12,-66.11617,-61.93895,38.93004,38.93004
13,-66.11599,-61.9389,39.05451,39.05451
14,-66.11581,-61.93885,39.16343,39.16343
15,-66.11564,-61.9388,39.28068,39.28068
16,-66.11546,-61.93875,39.43478,39.43478
17,-66.11528,-61.9387,39.5774,39.5774
18,-66.1151,-61.93865,39.72166,39.72166
19,-66.11493,-61.9386,39.89764,39.89764
20,-66.11475,-61.93855,40.063,40.063
21,-66.11457,-61.9385,40.21549,40.21549
22,-66.11439,-61.93845,40.35736,40.35736
23,-66.11422,-61.9384,40.51991,40.51991
24,-66.11404,-61.93835,40.69347,40.69347
25,-66.11386,-61.9383,40.83976,40.83976
26,-66.11368,-61.93825,40.99754,40.99754
27,-66.11351,-61.9382,41.17288,41.17288
28,-66.11333,-61.93815,41.33727,41.33727
29,-66.11315,-61.9381,41.45504,41.45504
30,-66.11297,-61.93805,41.5853,41.5853
31,-66.1128,-61.938,41.72867,41.72867
32,-66.11262,-61.93795,41.89132,41.89132
33,-66.11244,-61.9379,42.07742,42.07742
34,-66.11226,-61.93785,42.25246,42.25246
35,-66.11209,-61.9378,42.41101,42.41101
36,-66.11191,-61.93775,42.56626,42.56626
37,-66.11173,-61.9377,42.71295,42.71295
38,-66.11155,-61.93765,42.88794,42.88794
39,-66.11138,-61.93761,43.05019,43.05019
40,-66.1112,-61.93755,43.2451,43.2451
41,-66.11102,-61.9375,43.43328,43.43328
42,-66.11084,-61.93745,43.59057,43.59057
43,-66.11067,-61.9374,43.76492,43.76492
44,-66.11049,-61.93735,43.93939,43.93939
45,-66.11031,-61.93729,44.11852,44.11852
46,-66.11013,-61.93724,44.31675,44.31675
47,-66.10996,-61.93719,44.51305,44.51305
48,-66.10978,-61.93714,44.69617,44.69617
49,-66.1096,-61.93709,44.89389,44.89389
50,-66.10942,-61.93704,45.10892,45.10892
51,-66.10925,-61.937,45.33958,45.33958
52,-66.10907,-61.93695,45.55879,45.55879
53,-66.10889,-61.9369,45.76353,45.76353
54,-66.10871,-61.93685,45.98906,45.98906
55,-66.10854,-61.9368,46.21619,46.21619
56,-66.10836,-61.93675,46.44088,46.44088
57,-66.10818,-61.9367,46.67654,46.67654
58,-66.108,-61.93665,46.92508,46.92508
59,-66.10783,-61.9366,47.17609,47.17609
60,-66.10765,-61.93655,47.40757,47.40757
61,-66.10747,-61.9365,47.66013,47.66013
62,-66.10729,-61.93645,47.90749,47.90749
63,-66.10712,-61.9364,48.1576,48.1576
64,-66.10694,-61.93635,48.41875,48.41875
